username,text
JoeBiden,"RT @POTUS: Imagine a future where we lead the world and tackle the threat of climate change with American jobs and ingenuity.

We can make..."
JoeBiden,RT @POTUS: Vice President Harris and I have been briefed on the mass shooting at a FedEx facility in Indianapolis. God bless the eight indi...
JoeBiden,RT @POTUS: I'm looking forward to welcoming my friend Prime Minister Suga to the White House this afternoon for the first foreign leader vi...
JoeBiden,"RT @POTUS: It is time to end America's longest war. 

It is time for American troops to come home from Afghanistan."
JoeBiden,RT @WHCOVIDResponse: We continue to make progress in our work to vaccinate as many adults in this country as we can. Our current 7-day dail...
JoeBiden,"RT @POTUS: Today, the FDA and CDC recommended a pause in the use of the Johnson &amp; Johnson vaccine. Here's what you need to know: https://t...."
JoeBiden,"RT @POTUS: ""When the will defies fear, when duty throws the gauntlet down to fate, when honor scorns to compromise with death -- that is her..."
JoeBiden,"RT @POTUS: Race should never determine health outcomes -- and pregnancy and childbirth should be safe for all. But for too many Black women,..."
JoeBiden,"RT @POTUS: Today I'm thinking about Daunte Wright and his family -- and the pain, anger, and trauma that Black America experiences every day..."
JoeBiden,RT @POTUS: Gun violence in this country is an epidemic -- and it's long past time Congress take action.
JoeBiden,RT @WHCOVIDResponse: More than 112 million Americans have received at least one dose and more than 66 million adult Americans are now fully...
JoeBiden,"RT @POTUS: My Administration is taking initial steps to reduce gun violence, including:

- Stopping the proliferation of ghost guns
- Regul..."
JoeBiden,"RT @POTUS: Today, I'm joining Vice President Harris and Attorney General Garland to announce new actions to reduce gun violence. Tune in. h..."
JoeBiden,RT @WhiteHouse: Clean drinking water is infrastructure. The American Jobs Plan will improve our water infrastructure by replacing 100% of t...
JoeBiden,"RT @POTUS: I'm proud to share that yesterday, we crossed 150 million shots in just 75 days of my Administration -- on our way to hitting our..."
JoeBiden,RT @POTUS: My Administration is working to get America vaccinated as quickly as possible. Tune in as I provide an update on our progress an...
JoeBiden,RT @POTUS: Here's the deal: Wall Street didn't build this country -- the great American middle class did. It's time we rebuild the middle cl...
JoeBiden,"RT @POTUS: From our family to yours, we wish you health, hope, joy, and peace. Happy Easter, everyone! https://t.co/3NHPrbFCVt"
JoeBiden,"RT @POTUS: This week, I announced the American Jobs Plan, which will invest in our infrastructure and strengthen America's competitiveness..."
JoeBiden,RT @POTUS: The American Jobs Plan will ensure every American can turn on the faucet or fountain and drink clean water. https://t.co/V1WT3Tk...
JoeBiden,The American Jobs Plan is the largest American jobs investment since World War II.
JoeBiden,"Under the American Jobs Plan, 100% of our nation's lead pipes and service lines will be replaced--so every child in... https://t.co/OSBaolqeyN"
JoeBiden,"Wall Street didn't build this country--the great American middle class did. This time, when we rebuild the middle cl... https://t.co/Zi3Puap7jI"
JoeBiden,Delivering for the American people is what the American Rescue Plan was about. It's what the American Jobs Plan is... https://t.co/qZCSlOU6gw
JoeBiden,"The American Jobs Plan is a once-in-a-generation investment in America. It will:
Modernize 20,000 miles of highway... https://t.co/tfpjNM51O0"
JoeBiden,"Millions of Americans lost their jobs last year.

Here's the truth: We all do better when we all do well. It's time... https://t.co/9hnlXRaIB7"
JoeBiden,RT @POTUS: We can't be silent in the face of rising violence against Asian Americans. That's why today I'm taking additional steps to respo...
JoeBiden,"RT @POTUS: I'm proud to announce that three weeks from today, 90% of adults will be eligible to get vaccinated -- and 90% of Americans will..."
JoeBiden,RT @POTUS: Vice President Harris and I just wrapped up a COVID-19 briefing. Tune in as I give an update on our response to the virus and th...
JoeBiden,"RT @POTUS: Two weeks ago, I directed all states, tribes, and territories to make all adult Americans eligible for the vaccine no later than..."
JoeBiden,"RT @WhiteHouse: Megan Rapinoe, Margaret Purce, and countless others have been leading the fight for pay equality. This week, the President..."
JoeBiden,"RT @POTUS: As we recall the Passover story of overcoming adversity, finding hope, and becoming free, we find a renewed salience. This weeke..."
JoeBiden,"RT @POTUS: I ran for president for three reasons: to restore the soul of the nation, rebuild the middle class, and unite the country. https..."
JoeBiden,"RT @POTUS: Before I took office, I set a big goal of 100 million shots in my first 100 days.
 
We hit the goal on day 58.
 
Now, I'm settin..."
JoeBiden,"RT @POTUS: This afternoon, I'm holding my first formal press conference as president. Tune in. https://t.co/dvl1RAtOjr"
JoeBiden,"RT @WHCOVIDResponse: In total, 84 million people -- about 1 in 3 adults -- have received at least one dose of the vaccine and more than 45..."
JoeBiden,"RT @WhiteHouse: President Biden believes every single American deserves access to quality, affordable health care. Here's a breakdown of ho..."
JoeBiden,RT @POTUS: Jill and I are devastated for the lives that have been shattered by gun violence in Colorado. Less than a week after the horrifi...
JoeBiden,RT @WhiteHouse: Big news: The Biden-Harris Administration set a new record this weekend with 6 million shots reported administered. We're r...
JoeBiden,"RT @POTUS: Under the American Rescue Plan, the typical family of four is getting a $5,600 check. That money helps folks keep a roof over th..."
JoeBiden,"RT @POTUS: Mask up, America. https://t.co/6yaUHYmzWC"
JoeBiden,"RT @WhiteHouse: Before President Biden took office, the U.S. was administering an average of 900,000 COVID-19 vaccine doses a day.

Last we..."
JoeBiden,"RT @POTUS: Like countless people across the country, Jocelyn and her family are struggling to make ends meet. I gave her a call to discuss..."
JoeBiden,"RT @POTUS: Words have consequences. 

It's called the coronavirus.

Full stop."
JoeBiden,"RT @POTUS: This afternoon, Vice President Harris and I are meeting with Asian American leaders in Atlanta, Georgia. We're going to discuss..."
JoeBiden,"RT @WhiteHouse: Big News: President Biden announced that tomorrow, our Administration will hit 100 million COVID-19 shots administered. 

T..."
JoeBiden,"RT @POTUS: In honor of the victims of the senseless shootings in Atlanta, I've ordered the flag of the United States to be flown at half-st..."
JoeBiden,"RT @POTUS: Jill and I are keeping everyone impacted by the shootings in Atlanta in our prayers. We don't yet know the motive, but what we d..."
JoeBiden,"RT @WhiteHouse: Across the country, millions of small businesses are struggling to keep their doors open. Here's a breakdown of how the Ame..."
JoeBiden,RT @POTUS: That's the American Rescue Plan. https://t.co/7pE89mi4C6
JoeBiden,"RT @WHCOVIDResponse: Over the weekend, we administered nearly 6 million doses of the COVID-19 vaccine. 

Today, for the first time on a Mon..."
JoeBiden,"RT @POTUS: Last week, I signed the American Rescue Plan into law and direct payments have begun going out to folks across the country. I kn..."
JoeBiden,RT @WhiteHouse: The Biden-Harris Administration has been working around the clock to get America vaccinated. We've doubled daily vaccinatio...
JoeBiden,"It matters whether you continue to wear a mask.  
It matters whether you continue to socially distance.  
It matter... https://t.co/oH3PZ5RJ3l"
JoeBiden,RT @POTUS: To everyone out there who's hurting or struggling to get by: help is here. https://t.co/fkME0yMmBK
JoeBiden,"The American Rescue Plan means a $7,000 check for a single mom of four. It means more support to safely and quickly... https://t.co/Shycal3Q2r"
JoeBiden,"RT @POTUS: This afternoon, I'm joining Vice President Harris and members of Congress to celebrate the passage of the American Rescue Plan...."
JoeBiden,"85% of American households will get direct checks from the American Rescue Plan.

For so many Americans, that means... https://t.co/odfB4ZMzC4"
JoeBiden,RT @POTUS: All adult Americans will be eligible to get the vaccine no later than May 1.
JoeBiden,"RT @POTUS: Before I took office, I promised you that help was on the way. Today, I signed the American Rescue Plan into law, and can offici..."
JoeBiden,"RT @WhiteHouse: From $1,400 checks and unemployment relief to vaccines for every American -- help is here. https://t.co/R0AYaTbkTV"
JoeBiden,RT @POTUS: Help is here. https://t.co/urZCiigeS1
JoeBiden,"RT @POTUS: Keep the faith, folks. We will get through this. https://t.co/AMlyu4pU6M"
JoeBiden,RT @POTUS: I want every child to know that this is what vice presidents and generals in the United States Armed Forces look like. https://t...
JoeBiden,RT @POTUS: I believe every worker deserves a free and fair choice to join a union -- and the PRO Act will bring us closer to that reality. I...
JoeBiden,"RT @VP: On this #InternationalWomensDay, I want to honor the women who for over a year have gone to work, often risking their health, to no..."
JoeBiden,"RT @WhiteHouse: Last week, the Biden-Harris Administration: 

- Began administering the single-dose Johnson &amp; Johnson vaccine
- Secured eno..."
JoeBiden,"RT @POTUS: The legacy of Selma is that while nothing can stop free people from exercising their most sacred power as citizens, there are th..."
JoeBiden,"RT @POTUS: When I took office, I promised help was on the way. Thanks to @SenSchumer and Senate Democrats, we've taken one more giant step..."
JoeBiden,"RT @WhiteHouse: Tammy is a health care professional and single mother of four children -- and like countless other Americans, she's struggli..."
JoeBiden,"RT @POTUS: With the Johnson &amp; Johnson vaccine, we now have a third safe and effective COVID-19 vaccine being administered across the countr..."
JoeBiden,"RT @POTUS: The right to vote is sacred and fundamental -- and H.R. 1 is urgently needed to protect that right, to safeguard the integrity of..."
JoeBiden,"RT @WhiteHouse: In the two weeks since the Biden-Harris Administration opened a special enrollment period for health insurance, over 200,00..."
JoeBiden,RT @POTUS: An educator is leading the Department of Education once again. I look forward to working with @SecCardona to safely reopen our n...
JoeBiden,"RT @WhiteHouse: Today, President Biden announced a breakthrough collaboration between Johnson &amp; Johnson, Merck, and the federal government..."
JoeBiden,"RT @POTUS: Today, I am directing every state to prioritize educators for vaccination. We want every educator, school staff member, and chil..."
JoeBiden,"RT @POTUS: The fact is that $600 is not enough. The Senate needs to pass the American Rescue Plan and finish the job of delivering $2,000 i..."
JoeBiden,"RT @POTUS: Wash your hands.
Stay socially distanced.
Wear a mask.
Get vaccinated when it's your turn.

Despite our progress, we can't let o..."
JoeBiden,RT @POTUS: No child in America should go hungry. The American Rescue Plan will extend and invest in critical food programs to help ensure e...
JoeBiden,"A campaign for everyone who's been knocked down or counted out.

A campaign that brought Americans together of ever... https://t.co/HYHWyMIiVQ"
JoeBiden,"RT @POTUS: The more people that get vaccinated, the faster we will beat this pandemic. That's why one of my first goals is to administer 10..."
JoeBiden,"RT @POTUS: Yesterday I traveled to Texas to visit an emergency operations center, food bank, and vaccination site. Each stop represented ou..."
JoeBiden,RT @WhiteHouse: Erica is a nurse in New York City and runs COVID-19 testing at one of the hardest-hit hospitals in the country. President B...
JoeBiden,"RT @POTUS: The week before I took office, 6 million COVID-19 vaccine shots were administered.

This coming week, our Administration will li..."
JoeBiden,"RT @POTUS: COVID-19 vaccinations are up and cases and hospitalizations are down, but let me be clear: now is not the time to relax. https:/..."
JoeBiden,"RT @POTUS: Transgender rights are human rights -- and the House made that clear today by passing the Equality Act. 

Now it's time for the S..."
JoeBiden,RT @POTUS: I am pleased that the House will vote next week on the George Floyd Justice in Policing Act. I encourage the House to pass it. F...
JoeBiden,"RT @WhiteHouse: On Friday, President Biden toured a Pfizer manufacturing plant in Michigan to see the vaccine production process firsthand..."
JoeBiden,"RT @POTUS: When I met with Prime Minister @JustinTrudeau in 2016, I said the world needed more leaders like him. A lot has changed since th..."
JoeBiden,"RT @POTUS: Small businesses need relief, but many were muscled out of the way by big companies last year. That's why starting today, we're..."
JoeBiden,RT @JoeBiden: We need a president who is respected on the world stage. https://t.co/Hqv6T06Mtv
JoeBiden,"RT @POTUS: We will get through this, I promise you. https://t.co/dtmi4C9WsM"
JoeBiden,"RT @POTUS: 500,000 lives lost to COVID-19. It's an unfathomable number, but each one represents a family that will never again be whole. To..."
JoeBiden,"RT @POTUS: I know folks have a lot of questions about COVID-19 mutations, our vaccination progress, and much more. @CDCDirector Dr. Walensk..."
JoeBiden,"RT @POTUS: If there's one message I want to cut through to everyone in this country, it's this: The vaccines are safe.

For yourself, your..."
JoeBiden,"RT @POTUS: Today would have been Congressman John Lewis' 81st birthday. While my dear friend may no longer be with us, his life and legacy..."
JoeBiden,RT @POTUS: Overcoming the COVID-19 pandemic needs to be our top priority as a nation. I joined members of my team to talk about our plan to...
JoeBiden,"RT @POTUS: The federal government has sent generators, blankets, water, and other critical supplies to Texas, but local organizations on th..."
JoeBiden,"RT @POTUS: On Thursday, I joined the world and watched in awe as the Perseverance Rover touched down on the surface of Mars. It was a remar..."
JoeBiden,"RT @POTUS: Today, America is officially back in the Paris Climate Agreement. Let's get to work."
JoeBiden,"RT @POTUS: The Equality Act provides long overdue federal civil rights protections for LGBTQ+ Americans, preventing discrimination in our h..."
JoeBiden,"RT @WhiteHouse: Texas -- If you're without heat, head to https://t.co/5WhFEK6B8u to find a warming shelter near you or call 211 for addition..."
JoeBiden,"RT @POTUS: Jill and I are keeping Texas, Oklahoma, and other impacted states in our prayers. I've declared states of emergency, authorized..."
JoeBiden,"RT @POTUS: Today I announced our Administration will:

- Expand COVID-19 testing for schools and underserved communities
- Increase manufac..."
JoeBiden,RT @WhiteHouse: The Biden-Harris Administration opened a special enrollment period to ensure every American has the opportunity to sign up...
JoeBiden,"RT @POTUS: I know COVID-19 can be scary, but I want every kid out there to know things are going to be okay. https://t.co/wZIxHeNAFa"
JoeBiden,"RT @POTUS: Tonight, I'll be answering questions at my first town hall since taking office. Make sure to tune in to CNN at 9 PM ET / 8 PM CT..."
JoeBiden,"RT @POTUS: Starting this week, our Administration is:

- Increasing weekly vaccine shipments to states to 13.5 million doses -- a 57% increa..."
JoeBiden,"RT @POTUS: Before I took office, I set a big goal of administering 100 million shots in the first 100 days. With the progress we're making..."
JoeBiden,"RT @POTUS: The love of my life and the life of my love. Happy Valentine's Day, Jilly. https://t.co/LjLLIjvP1C"
JoeBiden,"RT @POTUS: Three years ago today, a lone gunman took the lives of 14 students and three educators in Parkland, Florida. In seconds, the liv..."
JoeBiden,"RT @POTUS: Samir and Neal own NaanStop in Atlanta, Georgia -- and like many small businesses around the country, they've been hit hard by th..."
JoeBiden,RT @POTUS: I know the last year has been difficult and painful for all of us. I hope Jill's Valentine's Day message helped brighten your da...
JoeBiden,"RT @POTUS: From the Biden family to yours, happy #LunarNewYear. We wish you happiness, health, and prosperity in the Year of the Ox. https:..."
JoeBiden,"RT @POTUS: I see enormous pain in this country. A lot of folks are out of work. A lot of folks are going hungry, staring at the ceiling at..."
JoeBiden,RT @POTUS: No child should grow up in poverty. The American Rescue Plan will expand the child tax credit and cut the child poverty rate in...
JoeBiden,"RT @POTUS: We can reduce suffering in this country, put people back to work, and gain control of this virus.

That's what the American Resc..."
JoeBiden,"RT @POTUS: The risk isn't that we do too much when it comes to a COVID relief package -- it's that we don't do enough.

We have to go big."
JoeBiden,RT @POTUS: Let me be clear: No one should lose their home in the middle of this pandemic. Congress needs to pass the American Rescue Plan t...
JoeBiden,RT @POTUS: We can't stand by as millions of Americans struggle to put food on the table. Congress needs to immediately pass the American Re...
JoeBiden,"RT @POTUS: There's so much more work to be done, but we've been able to increase vaccine distribution by 28% in the first three weeks alone..."
JoeBiden,RT @POTUS: Launching a national vaccination program to quickly and equitably vaccinate America -- that's the American Rescue Plan. https://t...
JoeBiden,RT @POTUS: Making vaccines free and accessible for every American -- that's the American Rescue Plan. https://t.co/5GpH0VYWIE
JoeBiden,RT @POTUS: We don't have a second to waste when it comes to delivering the American people the relief they desperately need. I'm calling on...
