username,text
Valkyrae,@raemiIa @itsraechill Thank you for deleting
Valkyrae,@valkyrat listen i didnt know i was getting an actual announcement for it just pretend you don't know ok 
Valkyrae,@pokimanelol LITTLE NIGHTMARES!!!!!!!!!
Valkyrae,@fuslie I'm sorry our announcements are close to eachother and people think its correlated  IM EXCITED TO KNOW WHAT YOURS ISSSSSSS
Valkyrae,@JujRose Good point!!
Valkyrae,Do I buy a Tesla? :0
Valkyrae,@brodinplett Sorry you went through that :/
Valkyrae,"@tommyinnit You're not annoying, you're funny!"
Valkyrae,"New YouTube video! 

Golf with Your Friends

Ft.
@scarra 
@LilyPichu 
@BaboAbe 
@Natsumiii 
@Kkatamina 
@jummychu2... https://t.co/HkYDAOLmix"
Valkyrae,@RatedEpicz I'm officially refunding all my compliments and deleting the vod goodbye Sheryl
Valkyrae,@RatedEpicz can i use you as a reference next time i break RP on accident ty andy pallet
Valkyrae,@RatedEpicz .. ok i may have exaggerated.. i meant to say every 31 min :)
Valkyrae,@LilyPichu @KarlJacobs_ a good boi
Valkyrae,@Smix @Fifflaren congrats sueeeeeeeee!!!!!!!!!!!!!!!!! &lt;3
Valkyrae,@Kkatamina @h7une @yvonnie he definitely didnt stutter huhuehuehuehue
Valkyrae,@Kkatamina @yvonnie wow yvonne all that miyoung smack talk in vegas yet you do weird stuff like this as well smhmyhead
Valkyrae,@Natsumiii Caught in 4K 
Valkyrae,@valkyrrae @Natsumiii LOLLLL 
Valkyrae,RT @valkyrrae: LOOK AT THEM TWINNING  yall are so cute ;___; @Natsumiii @Valkyrae https://t.co/eBbUNIAQo1
Valkyrae,"@janjanalt @itsraechill LOL i am so grateful to have you as a friend, janet"
Valkyrae,"@100Thieves its been a long ride, thanks for joining me &lt;3 not done yet!!!"
Valkyrae,"RT @100Thieves: From creator to co-owner.

@Valkyrae reflects on this past year and the incredible success she's had. https://t.co/3qAn1hX8..."
Valkyrae,@MrBeast Happy birf !!!!!!!
Valkyrae,"@raempostor i misunderstood what was happening, its apparently being recorded off stream then the video will be pos... https://t.co/ov7DI6HwLy"
Valkyrae,@xChocoBars Have good stream bb
Valkyrae,so how's life so far?
Valkyrae,"@summerdreami subbing on youtube is free, memberships are like ""subs"" on twitch but on youtube streams.. i stream on youtube :)"
Valkyrae,I love Grand Theft Auto RP.. so glad I gave it multiple chances after being too overwhelmed by the learning curve.... https://t.co/PaJaMZXOk0
Valkyrae,@Adweek @riotgames &lt;3 &lt;3 &lt;3 &lt;3 &lt;3 &lt;3
Valkyrae,"RT @Adweek: Congratulations to @Valkyrae on winning Gaming Creator of the Year, Presented by @riotgames as part of Adweek's Creator Visiona..."
Valkyrae,@100Thieves @JhbTeam The weirdest interview I've ever had
Valkyrae,"RT @100Thieves: On this episode of TBH w/ JHB, @Valkyrae was kind enough to sit through @JhbTeam asking her to ""coo like a bird"" and help u..."
Valkyrae,@CORPSE @TeanaKitten Have fun friends!!
Valkyrae,@starsmitten_ i want a celine outfit lookbook plz
Valkyrae,@GaileyBoat @machinegunkelly amazing!!! :0
Valkyrae,@Zedd @CaminahSnapback @pokimanelol im down whenever!
Valkyrae,@DisguisedToast TWINSSSSSSSSSSSSSS!!!!!!!!!!!!!!!!!!!!
Valkyrae,@LordKebun I CANT BELIEVE HOW GOOD YOU ARE AT GETTING AWAY EVEN IN A PRIUS
Valkyrae,@obnoxioos I HAD A GREAT STREAM AND I LOVE GTAV RP!
Valkyrae,:) !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!... https://t.co/vEjIZ3rDpW
Valkyrae,@JhbTeam i was shocked you're over 6ft!
Valkyrae,@100Thieves @JhbTeam im trying to live without regrets..
Valkyrae,@100Thieves who tweeted this
Valkyrae,@RatedEpicz no promises
Valkyrae,@RatedEpicz can i borrow your car again today lol
Valkyrae,@QuarterJade MAAAAAAAAAAAAAAAAAAAAA QUUUUUUUUUUUUUUUUUUEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEE... https://t.co/Aa3Z2mT1mh
Valkyrae,@honkkarl glad nobody is hurt!!!
Valkyrae,@Jack_Septic_Eye Congrats jack!!!!
Valkyrae,@TheRealRyanHiga oh?!
Valkyrae,@jschlatt thats the most important goal of life : )
Valkyrae,@Jose42630087 Tonight 5pm!
Valkyrae,One of my goals is to hit Forbes 30 under 30 list before I'm 30.. I've got so much planned! time to double down 
Valkyrae,@pokimanelol Yes please 
Valkyrae,"Goodmorning!!!!!

Schedule this week is GTA RP everyday around 5pm PST with some random games before or after somet... https://t.co/v0uQ6vp7OB"
Valkyrae,@itshafu 
Valkyrae,@Avalanche100T Follow me or you're fired
Valkyrae,@AvaGG I CANT MAKE EVERYBODY FUCKING HAPPY LMFAO
Valkyrae,@t1yQdko0aaxgciL @Gent1eGamer ILL BE FUCKING AGGRESSIVE WHENEVER I WANT /j
Valkyrae,@Gent1eGamer I'm just actin up i know he didn't mean it my bad... do I delete this now
Valkyrae,REMOVE MY FACE FROM YOUR PROFILE PICTURE IF YOU'RE GOING TO SHIT ON MY FRIENDS AND OTHER COMMUNITIES!!! AHHHH!!!
Valkyrae,@sonii I don't condone this behavior :(
Valkyrae,@itsraechill @LilyPichu @fuslie @fooozley So true rae. Yeah lily why not
Valkyrae,@americatwtaylor Yes I agree with both sides idk how to make that clear
Valkyrae,@peterparkTV @DisguisedToast True!!!!!!
Valkyrae,@RoseMemories @DisguisedToast Sympathizing for both my friend toast and also people who his jokes may have affected is not about my image.
Valkyrae,@xChocoBars Get some rest Queen 
Valkyrae,"@DisguisedToast I hope those that were hurt found closure through this! I think it's great you addressed it, I pers... https://t.co/gh1ODL9bcr"
Valkyrae,@amazingashleyp I'll ask!!!
Valkyrae,@debsdebs24 I played them before I was a streamer long ago!
Valkyrae,I need a list of games (new and old! Besides GTAV RP I'll definitely be playing that this week) to play with friend... https://t.co/KzILst3pla
Valkyrae,Just a heads up! @mavixchairs is donating $15 for every chair sold during May to the National Alliance on Mental Il... https://t.co/VCOsqeeOfB
Valkyrae,sweater from the place with the shoes that look like socks! https://t.co/NGjmFv3vBr
Valkyrae,@MaizeQuinn @Natsumiii THATS WHAT I MEANT
Valkyrae,@Natsumiii My girlfriend
Valkyrae,THEE AUDACITY!!!
Valkyrae,@itshafu Get well soon!!!
Valkyrae,@bellapoarch idk what you said but your voice is so pretty
Valkyrae,@bretmanrock That's the way it's meant to be
Valkyrae,"@pokimanelol I love how the first thing said is ""im single"" LOL"
Valkyrae,@Sykkuno @RiotSuperCakes @ValorantUpdates LOLLLLLLLLLLLLLLLL THIS IS AWESOME
Valkyrae,@emmalangevinxo SAME IT DOESNT EVEN LOOK THE SAME :0
Valkyrae,"New YouTube Video!! 

Drunk drawing game with OfflineTV and friends
(Sorry for the echo in the teaser clip lol it'... https://t.co/9dBMkEGKSC"
Valkyrae,@raewalkr @pokimanelol @xChocoBars @starsmitten_ PLEASE
Valkyrae,Going to actively search for my next home/apartment this weekend since my lease with my girls will be ending soon ... https://t.co/tjDYaCKb1T
Valkyrae,@QuarterJade jodi said glowupppppppppppp
Valkyrae,@thecodemiko @100Thieves very impressive. vouch
Valkyrae,@itshafu @TheRealRyanHiga @dogdog @edisonparklive @Kkatamina @KristoferYee @fuslie @AriaSaki @yvonnie @Sykkuno so g... https://t.co/0b2IomUbEv
Valkyrae,@tommyinnit @itshafu @TheRealRyanHiga @dogdog @edisonparklive @Kkatamina @KristoferYee @fuslie @AriaSaki @yvonnie @Sykkuno Where is tommy!
Valkyrae,@flowerfi_ Made me tear up :') very pretty!!
Valkyrae,@brookeab 
Valkyrae,"@peterparkTV I'm so sorry Peter, here for you if you need anything!!!"
Valkyrae,Really really really really appreciate the people who care about morals even on the internet/anonymously. You keep... https://t.co/sL7RRorvaV
Valkyrae,@brisanotfound @itsraechill Cute!!!!!!!!!!!
Valkyrae,@TheRealRyanHiga @fuslie @itshafu @yvonnie I'll tie his hands to the chair so he can't escape! :D
Valkyrae,@fuslie @TheRealRyanHiga @itshafu Can I watch IRL when this happens  LOL
Valkyrae,@Corpse_Husband hi!
Valkyrae,oh hi der! https://t.co/sw06Fvfzkd
Valkyrae,@fuslie @edisonparklive @Sykkuno What a lovely couple of dudes
Valkyrae,@fuslie LMFAO
Valkyrae,oh jesus! https://t.co/m0a3mTvd3V
Valkyrae,@Kkatamina @fuslie @yvonnie WHY U ANGY LOL
Valkyrae,@fuslie @Sydeon @Kkatamina @yvonnie Let's play when we get back!!
Valkyrae,@yvonnie @Kkatamina @fuslie Ma hart 
Valkyrae,girls girls girls https://t.co/Gjscs6zjlN
Valkyrae,@starsmitten_ My favorite photos of you ever I can't even believe my eyes
Valkyrae,I hope you're doing okay!!
Valkyrae,@milkuustars Wowowowowow *_*
Valkyrae,@dreamwastaken @theawesamdude Wooooo!!
Valkyrae,@CouRageJD HHAPAPPYYYYY BIRFFDAY JACKKKKKKK!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
Valkyrae,@LudwigAhgren im excited to try it!!
Valkyrae,"hihi! tomorrow i gotta film for 100t all day but then ill be live at 7pm pst!

playin secret neighbor for the first... https://t.co/obNseo3JI0"
Valkyrae,@ValkyJodi only me?! :o
Valkyrae,@xCel_13 ill see yall tomorrow!!
Valkyrae,@corpsehonksband ;___; &lt;3
Valkyrae,@valkyfaerie @cyberidolmelany OKAY I WILL
Valkyrae,@cyberidolmelany How do I find out :0
Valkyrae,RT @itsraechill: https://t.co/75vx52lSgD
Valkyrae,@LilTvgRL Tomorrow! Mom leaves today then I gotta film in the morning but should be live after :D
Valkyrae,@RivalHadez Trueeee
Valkyrae,@starsmitten_ My love do be poppin off internationally
Valkyrae,@amazingashleyp @Kkatamina @peterparkTV It had a typo and lacked an emoji 
Valkyrae,@Kkatamina @peterparkTV I don't get why you can't use a headset while playing Valorant though 
Valkyrae,@peterparkTV @Kkatamina I can't listen to music when I have to think lol
Valkyrae,@alyafterdark *hugs*
Valkyrae,@minjimouse_art @itsraechill Are you kidding me lol how can I not make this my pfp
Valkyrae,@raewalkr @corpsehart I like it too but confusing to say on stream 
Valkyrae,@cheese49ers Widerae needed a vacation
Valkyrae,@corpsehart It's kinda long but it's fitting and kinda cute!
Valkyrae,@Camimi01 It's from @hypland !
Valkyrae,cool hxh shirt is cool! https://t.co/7NWLxfn8cQ
Valkyrae,@Fzah_22 @DisguisedToast @Sykkuno @Corpse_Husband crops little pony tail
Valkyrae,@pokimanelol @REALMizkif Is this guy bothering you Queen?
Valkyrae,@Yassuo @REALMizkif I'm sorry
Valkyrae,@REALMizkif Does this mean we are besties now
Valkyrae,@REALMizkif Is it true you called my roomie the b word :0
Valkyrae,@kindtina_ shes almost here!
Valkyrae,@chloescanary @itsraechill omg look at mika
Valkyrae,"New YT Video! 

Corpse, Sykkuno and I were invited to play Among Us on the Tonight Show with Jimmy Fallon, actors... https://t.co/qRTYDuAtgN"
Valkyrae,@StupidCow14 
Valkyrae,@joohertz luh!
Valkyrae,@kindtina_ Hap birf bb 
Valkyrae,@valkisrae I hope the same for you 
Valkyrae,@comfytinaa Mahal kita!
Valkyrae,@raewalkers Wuv!
Valkyrae,@knjscollins Lub!!
Valkyrae,@maskgnf I understand!
Valkyrae,@AlphaxNinex @dreamcest I don't mind explaining if it helps bring perspective
Valkyrae,@epiphamy_ People are working.. it was a contracted sponsored business event. I don't have control over it
Valkyrae,"@dreamcest It was a contracted, business event. Yes the game was Uno but it was entirely sponsored. There are so ma... https://t.co/4NZK03dG5I"
Valkyrae,@janealt_ True  but there's so much love in return because I'm this way. I can't complain. I love my people
Valkyrae,@jacksondahl I should have said that instead 
Valkyrae,"@syksbunny @itsraechill love yall too! im okay, i just really tend to come off the wrong way and i wish i was better at not doing that"
Valkyrae,@valkyrrae thank you
Valkyrae,@camEElasangria @quacktyhq @spiceyrae yeah.. i wasnt trying to come off mean. .but many thought the same thing so i... https://t.co/iC5Fs97uo5
Valkyrae,@gnfgod i was just clarifying we were being safe :/
Valkyrae,@Yassuo im glad your forehead made it moe!
Valkyrae,@brookeab so did you!!! you proved the doubters wrong 
Valkyrae,@MatPatGT @bigbossboze @LudwigAhgren it was so cool seeing you introduce yourself and chat with literally everybody... https://t.co/kIqAtunpjC
Valkyrae,@raempostor Girlllllll CHILL LOL
Valkyrae,@MatPatGT @KarlJacobs_ So great finally meeting you both 
Valkyrae,@100Thieves @CouRageJD @CashApp Congrats jack!!!
Valkyrae,"Uno Tournament starting now!!

Watch on the @CashApp Channel

 #CashAppPayDay https://t.co/DgCsRXXl8w"
Valkyrae,@KarlJacobs_ @brookeab Karl is very tall!
Valkyrae,@brookeab @KarlJacobs_ karookerae!
Valkyrae,RT @brookeab: some salamigops crossover https://t.co/hH5Wsjo0xt
Valkyrae,hair balls! https://t.co/hkuzwP7YiT
Valkyrae,@notghostusser @Corpse_Husband @DisguisedToast @Sykkuno WHY LOL WHY
Valkyrae,@100Thieves @AustinOnTwitter woooooooooooo!!!! see ya tomorrow!
Valkyrae,@iGumdrop @starsmitten_ she truly is an angel on earth ;__;
Valkyrae,@peterparkTV @Natsumiii what are the images i cant see anymore
Valkyrae,@peterparkTV you SUCCEEDED
Valkyrae,@peterparkTV im going to have nightmares
Valkyrae,@ValkyJade LMAOOOOOOOOOOOOOOOOOO
Valkyrae,@peenerpark thanks for watchin the kids uncle pp
Valkyrae,@OfflineTV @DisguisedToast @Natsumiii @KristoferYee @peterparkTV such an incredible tournament! ty for having all o... https://t.co/Jizl6FtcdH
Valkyrae,@Natsumiii we did it!!! you did great wendy ;__;
Valkyrae,@TSM_Myth i cant feel my eyes from all those birds. gg miff!
Valkyrae,@Jack_Septic_Eye jack you play so well while dealing with high ping!! you're insane!!!
Valkyrae,@Shiphtur DANNY YOU SCARE ME
Valkyrae,@DisguisedToast @peterparkTV @Natsumiii @KristoferYee TEAM BREAD!!! WE DID IT!!!
Valkyrae,@LilyPichu lily you have improved so much!!! i loveyou!!!
Valkyrae,we won!!! :'D such a great tournament for charity! all my friends are so cool.. WHAT GAMERS!!!!!!!!!!!!!!!!!! hope... https://t.co/KCNS9Ji5Xa
Valkyrae,@brookeab ggs!!!!!!!!!!
Valkyrae,@itshafu happy birf hafu!!!!!!!!!!!!!!!!! &lt;3 &lt;3
Valkyrae,Today is the final day of the OfflineTV Charity Valorant Tournament! Peter is streaming our perspective again for T... https://t.co/3z5HYLFbHW
Valkyrae,@DisguisedToast rent free 
Valkyrae,@TwitchRivals @loltyler1 @macawcaw123 @AverageJoes_OC @WARDELL416 @TominationTime @BajheeraWoW @BenRice_PLG... https://t.co/rZ7MJvhE3w
Valkyrae,we won 2/2 games today for the charity tournament!! :D 2 more games tomorrow!! woo team toast and gg friends ;__; &lt;3
Valkyrae,@leena_xu happy birf leena!!!!!!!!!!!!!!!!!
