username,text,cleaned_text
pokimanelol,@Valkyrae u know mfs gonna ask so i figured i'd get it outta the way ,u know mfs gonna ask so i figured id get it outta the way
pokimanelol,"my personal Q&amp;A is live ^_^ 

topics include:
relationships, books/music, religion, future dream job &amp; more 
watch... https://t.co/rMa3Y46Bup",my personal q&ampa is live ^_^ topics includerelationships books music religion future dream job &amp more watch
pokimanelol,@SesoHQ @PlayVALORANT omg plz iwoqasedkjiwqklaj @PlayVALORANT i would do ANYTHING for this,omg plz iwoqasedkjiwqklaj i would do anything for this
pokimanelol,"RT @SesoHQ: Pokimane @PlayVALORANT skin concept.

Creator skin series // Vandal

 https://t.co/jg0vvkGdkA", pokimane skin conceptcreator skin series    vandal
pokimanelol,@Stonepa_ @aksually lmaaaooo the photo of us,lmaaaooo the photo of us
pokimanelol,@Ninja my condolences ,my condolences
pokimanelol,"@xChocoBars @itshafu SO TRUE, it's hard enough to keep up w such a complicated show but + the fact i can't see shit e__e it's just too much",so true its hard enough to keep up w such a complicated show but + the fact i cant see shit e__e its just too much
pokimanelol,@QuarterJade i thought ur pink hair looked good but how tf does it look even better w roots i think it's just impos... https://t.co/ibw5pLeC2o,i thought ur pink hair looked good but how tf does it look even better w roots i think its just impos
pokimanelol,"RT @imane: 5M on tik tok 

and the demo is just.. *chef's kiss*  https://t.co/kwHLDxJyRl", m on tik tok and the demo is just *chefs kiss*
pokimanelol,@boburnham cannot wait to watch it,cannot wait to watch it
pokimanelol,@xChocoBars me.. too....,me too
pokimanelol,@theyungjeff @LudwigAhgren hahahahahah,hahahahahah
pokimanelol,ready for a vax girl summer  https://t.co/nALV8KOYya,ready for a vax girl summer
pokimanelol,@starsmitten_ the most important one ,the most important one
pokimanelol,@floaromaa sova woba ,sova woba
pokimanelol,@peterparkTV i am so.. so so so so incredibly sorry peter. please take all the time you need. ,i am so so so so so incredibly sorry peter please take all the time you need
pokimanelol,"@sF_Oddity pay your players, period ",pay your players period
pokimanelol,@Greekgodx u a real one,u a real one
pokimanelol,"everyone NEEDS to learn this self-defense trick, it blew my mind  https://t.co/42u5oTBnoO",everyone needs to learn this self defense trick it blew my mind
pokimanelol,@gSwirlyTV your mom.. made you a cake.. because i raided your channel.. that's the cutest shit ever ,your mom made you a cake because i raided your channel thats the cutest shit ever
pokimanelol,@itsgfreviews I LOVE YOUR VIDSSSS!!,i love your vidssss
pokimanelol,@BaboAbe already besties ,already besties
pokimanelol,@Valkyrae @Sykkuno b'awwww cuties ,bawwww cuties
pokimanelol,@serenssun thissss ^,thissss ^
pokimanelol,@QuarterJaded we boutta play COD?,we boutta play cod
pokimanelol,@AnisaJomha congrats!!! ,congrats
pokimanelol,@AsteIic THIS IS LITERALLY HOW MY BRAIN WORKS,this is literally how my brain works
pokimanelol,@CptPuffy friends is diff from besties ok ,friends is diff from besties ok
pokimanelol,@snirot @wildwik YES SHE IS - hi bestie ,yes she is   hi bestie
pokimanelol,@qtcinderella @taylorswift13 these hoes ain't loyal.. ,these hoes aint loyal
pokimanelol,@emiokok *cleans up after u lovingly* ,*cleans up after u lovingly*
pokimanelol,@KaleiRenay let's fkn go  https://t.co/kTA3iG1jFA,lets fkn go
pokimanelol,i want to befriend every single gamer girl ever,i want to befriend every single gamer girl ever
